lead_id,business_name,listing_url,source,asking_price,ebitda_or_sde,passive_signal,location,owner_contact_path_verified,notes,status
ABX-001,Absentee Run Businesses (master feed),https://www.bizbuysell.com/absentee-run-businesses-for-sale/,BizBuySell,varies,varies,absentee-run category,US,no,Source feed for ≤$2M and EBITDA/SDE >=100k filtering,RAW
ABX-002,Absentee Run Businesses in California,https://www.bizbuysell.com/california/absentee-run-businesses-for-sale/,BizBuySell,varies,varies,absentee-run category,California,no,Need listing-level extraction and owner-path check,RAW
ABX-003,Absentee Run Businesses in New York,https://www.bizbuysell.com/new-york/absentee-run-businesses-for-sale/,BizBuySell,varies,varies,absentee-run category,New York,no,Contains multiple possible <=$2M leads; verify EBITDA and contact path,RAW
ABX-004,Absentee Run Businesses in New Jersey,https://www.bizbuysell.com/new-jersey/absentee-run-businesses-for-sale/,BizBuySell,varies,varies,absentee-run category,New Jersey,no,Pipeline source for passive-op deals,RAW
ABX-005,Absentee Run Businesses in North Carolina,https://www.bizbuysell.com/north-carolina/absentee-run-businesses-for-sale/,BizBuySell,varies,varies,absentee-run category,North Carolina,no,Pipeline source; needs pricing/EBITDA parsing,RAW
ABX-006,Absentee Run Businesses in Texas,https://www.bizbuysell.com/texas/absentee-run-businesses-for-sale/,BizBuySell,varies,varies,absentee-run category,Texas,no,Pipeline source; verify owner path,RAW
ABX-007,Absentee Run DFW Page 4,https://www.bizbuysell.com/texas/dallas-fort-worth-metroplex/absentee-run-businesses-for-sale/4/,BizBuySell,varies,varies,owner absentee mention,Dallas-Fort Worth,no,Contains listing snippets with absentee signal,RAW
ABX-008,Brooklyn Bakeries Source,https://www.bizbuysell.com/new-york/brooklyn/bakeries-for-sale/,BizBuySell,varies,SDE snippets in page snippet,New York,no,Potential <$2M candidates with SDE >=100k in category,RAW
ABX-009,Florida Businesses Feed,https://www.bizbuysell.com/florida-businesses-for-sale/,BizBuySell,varies,varies,absentee mentions in snippet,Florida,no,Use for target extraction by buy-box,RAW
ABX-010,Miami/FLL Owner-Financed Feed,https://www.bizbuysell.com/florida/miami-fort-lauderdale-area/owner-financed-businesses-for-sale/9/,BizBuySell,varies,varies,owner-financed signal,Florida,no,May include passive-friendly opportunities under $2M,RAW
